itemCode,itemDescription,averageCost,supplier,assortmentType
01110030003606,Chicken Parmigiania,35.285700,QBites Inc.,Out of assortment
01110030003609,Mac and Cheese with Bacon,35.285700,QBites Inc.,In assortment
01110030003613,Nestle Shepherd's Pie,34.419600,QBites Inc.,In assortment
01110030003614,Nestle Crema De Fruta,26.785700,QBites Inc.,In assortment
01110030003615,Nestle Chocolate Mousse,23.214300,QBites Inc.,undefined**
01110030003616,Fruit Salad 80g,26.785700,QBites Inc.,Out of assortment
01110030003624,ROSEMARY HERB COOKIES,22.321400,Gourmet's Farms, Inc,In assortment
01110030003625,PESTO HERB COOKIES,22.321400,Gourmet's Farms, Inc,In assortment
01110030003739,Korean Bulgogi P29,20.089200,Verleo Food Ent. (Chow Queen),Out of assortment
01110030003740,Arroz Ala Cubana P29,20.089200,Verleo Food Ent. (Chow Queen),Out of assortment
01110030003741,Sisig Bicol Express P29,20.089200,Verleo Food Ent. (Chow Queen),Out of assortment
01110030004059,Vanilla Roll,27.678500,Breadtalk Philippines. Inc.,In assortment
01110030004060,Marble Roll,27.678500,Breadtalk Philippines. Inc.,In assortment
01110030004074,Char Siu Rice Meal,60.535498,LAWSON,In assortment
01110030004075,White Chicken Rice Meal,59.963502,LAWSON,In assortment
01110030004076,Roast Pork Rice Meal,64.999798,LAWSON,In assortment
01110030004077,Chicken Feet Rice Meal,38.214098,LAWSON,In assortment
01110030004078,Char Siu Rice Meal with Iced Tea 16oz,68.315804,LAWSON,In assortment
01110030004079,White Chicken Rice Meal with Iced Tea 16oz,68.428500,LAWSON,In assortment
01110030004080,Chicken Feet Rice Meal with Iced Tea 16oz,44.665597,LAWSON,In assortment
01110030004083,Roast Pork Rice Meal with Iced Tea 16oz,72.777268,LAWSON,In assortment
01110030004084,Almond Jelly with Fruit Cocktail,19.642800,EST Dimsum Inc.,Out of assortment
01110030004108,Yema Cake,20.535700,ATASHA'S PASTRY STATION,In assortment
